candidate,party_detailed,year,candidatevotes,totalvotes,percentage
"CARTER, JIMMY",DEMOCRAT,1976,40680446,81601344,49.85266664235334
"FORD, GERALD",REPUBLICAN,1976,38870893,81601344,47.63511370597033
"CARTER, JIMMY",DEMOCRAT,1980,35480948,86496851,41.01993030937046
"REAGAN, RONALD",REPUBLICAN,1980,43642639,86496851,50.455754741869164
"MONDALE, WALTER",DEMOCRAT,1984,37449813,92654861,40.41861656885978
"REAGAN, RONALD",REPUBLICAN,1984,54166829,92654861,58.46086046149268
"BUSH, GEORGE H.W.",REPUBLICAN,1988,48642640,91586825,53.1109578260847
"DUKAKIS, MICHAEL",DEMOCRAT,1988,41716679,91586825,45.548777348707084
"BUSH, GEORGE H.W.",REPUBLICAN,1992,38798913,104599780,37.09272906692538
"CLINTON, BILL",DEMOCRAT,1992,44856747,104599780,42.884169546054494
"CLINTON, BILL",DEMOCRAT,1996,47295351,96389818,49.06674997560427
"DOLE, ROBERT",REPUBLICAN,1996,39003697,96389818,40.464540559667824
"BUSH, GEORGE W.",REPUBLICAN,2000,50311372,105593982,47.64605998095611
"GORE, AL",DEMOCRAT,2000,49662314,103155297,48.14325143186782
"BUSH, GEORGE W.",REPUBLICAN,2004,61872711,122349450,50.57048560496186
"KERRY, JOHN",DEMOCRAT,2004,57449540,119521063,48.066456704790184
OTHER,DEMOCRAT,2004,7,2384238,0.00029359485084962155
"MCCAIN, JOHN",REPUBLICAN,2008,59613835,131419253,45.3615689019325
"OBAMA, BARACK H.",DEMOCRAT,2008,69338846,131419253,52.76155846054002
"OBAMA, BARACK H.",DEMOCRAT,2012,64205850,126203436,50.87488267752076
"ROMNEY, MITT",REPUBLICAN,2012,60670117,129139997,46.980113372621496
"CLINTON, HILLARY",DEMOCRAT,2016,65677246,139568633,47.05731122264413
"TRUMP, DONALD J.",REPUBLICAN,2016,62692670,139568633,44.91888231075531
"BIDEN, JOSEPH R. JR",DEMOCRAT,2020,81268908,158528503,51.26454010607796
"TRUMP, DONALD J.",REPUBLICAN,2020,74216146,158528503,46.81564803523061
